id,character
1,gil
2,disco_stu
3,patty_bouvier
4,charles_montgomery_burns
5,lisa_simpson
6,marge_simpson
7,lenny_leonard
8,kearney_zzyzwicz
9,snake_jailbird
10,lionel_hutz
11,ned_flanders
12,chief_wiggum
13,chief_wiggum
14,selma_bouvier
15,ned_flanders
16,gary_chalmers
17,selma_bouvier
18,krusty_the_clown
19,gary_chalmers
20,lionel_hutz
21,principal_skinner
22,gary_chalmers
23,krusty_the_clown
24,kent_brockman
25,professor_john_frink
26,sideshow_mel
27,dolph_starbeam
28,kent_brockman
29,bart_simpson
30,charles_montgomery_burns
31,carl_carlson
32,duff_man
33,edna_krabappel
34,apu_nahasapeemapetilon
35,mayor_quimby
36,jimbo_jones
37,lisa_simpson
38,disco_stu
39,marge_simpson
40,martin_prince
41,homer_simpson
42,homer_simpson
43,waylon_smithers
44,maggie_simpson
45,kent_brockman
46,maggie_simpson
47,lisa_simpson
48,professor_john_frink
49,rainier_wolfcastle
50,sideshow_mel
51,jimbo_jones
52,waylon_smithers
53,gary_chalmers
54,mayor_quimby
55,barney_gumble
56,ralph_wiggum
57,kearney_zzyzwicz
58,cletus_spuckler
59,ralph_wiggum
60,ned_flanders
61,maggie_simpson
62,maggie_simpson
63,snake_jailbird
64,mayor_quimby
65,timothy_lovejoy
66,brandine_spuckler
67,lionel_hutz
68,chief_wiggum
69,ned_flanders
70,agnes_skinner
71,bart_simpson
72,abraham_grampa_simpson
73,gary_chalmers
74,moe_szyslak
75,ralph_wiggum
76,fat_tony
77,principal_skinner
78,agnes_skinner
79,selma_bouvier
80,ned_flanders
81,fat_tony
82,miss_hoover
83,groundskeeper_willie
84,milhouse_van_houten
85,abraham_grampa_simpson
86,kent_brockman
87,jimbo_jones
88,dolph_starbeam
89,ralph_wiggum
90,groundskeeper_willie
91,barney_gumble
92,rainier_wolfcastle
93,charles_montgomery_burns
94,kent_brockman
95,martin_prince
96,agnes_skinner
97,homer_simpson
98,krusty_the_clown
99,lenny_leonard
100,principal_skinner
101,lunchlady_doris
102,duff_man
103,miss_hoover
104,bart_simpson
105,ned_flanders
106,troy_mcclure
107,milhouse_van_houten
108,bart_simpson
109,groundskeeper_willie
110,nelson_muntz
111,kearney_zzyzwicz
112,krusty_the_clown
113,abraham_grampa_simpson
114,kent_brockman
115,waylon_smithers
116,disco_stu
117,otto_mann
118,disco_stu
119,cletus_spuckler
120,patty_bouvier
121,duff_man
122,chief_wiggum
123,gil
124,homer_simpson
125,lionel_hutz
126,bart_simpson
127,charles_montgomery_burns
128,marge_simpson
129,charles_montgomery_burns
130,krusty_the_clown
131,timothy_lovejoy
132,professor_john_frink
133,waylon_smithers
134,bart_simpson
135,lisa_simpson
136,principal_skinner
137,gil
138,ralph_wiggum
139,ned_flanders
140,comic_book_guy
141,chief_wiggum
142,charles_montgomery_burns
143,fat_tony
144,marge_simpson
145,fat_tony
146,brandine_spuckler
147,kent_brockman
148,fat_tony
149,principal_skinner
150,martin_prince
151,timothy_lovejoy
152,sideshow_bob
153,martin_prince
154,fat_tony
155,duff_man
156,homer_simpson
157,waylon_smithers
158,otto_mann
159,cletus_spuckler
160,maggie_simpson
161,milhouse_van_houten
162,lionel_hutz
163,marge_simpson
164,otto_mann
165,milhouse_van_houten
166,lenny_leonard
167,bart_simpson
168,kearney_zzyzwicz
169,ralph_wiggum
170,abraham_grampa_simpson
171,miss_hoover
172,sideshow_bob
173,gary_chalmers
174,ned_flanders
175,sideshow_bob
176,krusty_the_clown
177,gil
178,rainier_wolfcastle
179,gary_chalmers
180,chief_wiggum
181,bart_simpson
182,bart_simpson
183,timothy_lovejoy
184,fat_tony
185,gil
186,brandine_spuckler
187,rainier_wolfcastle
188,rainier_wolfcastle
189,charles_montgomery_burns
190,selma_bouvier
191,professor_john_frink
192,sideshow_mel
193,cletus_spuckler
194,patty_bouvier
195,krusty_the_clown
196,patty_bouvier
197,barney_gumble
198,professor_john_frink
199,timothy_lovejoy
200,edna_krabappel
201,miss_hoover
202,lunchlady_doris
203,jimbo_jones
204,duff_man
205,selma_bouvier
206,sideshow_mel
207,apu_nahasapeemapetilon
208,ned_flanders
209,lenny_leonard
210,apu_nahasapeemapetilon
211,lunchlady_doris
212,timothy_lovejoy
213,nelson_muntz
214,patty_bouvier
215,maggie_simpson
216,cletus_spuckler
217,krusty_the_clown
218,mayor_quimby
219,fat_tony
220,moe_szyslak
221,marge_simpson
222,maggie_simpson
223,krusty_the_clown
224,brandine_spuckler
225,lionel_hutz
226,principal_skinner
227,kent_brockman
228,brandine_spuckler
229,gary_chalmers
230,maggie_simpson
231,fat_tony
232,homer_simpson
233,lenny_leonard
234,moe_szyslak
235,agnes_skinner
236,marge_simpson
237,lionel_hutz
238,otto_mann
239,selma_bouvier
240,comic_book_guy
241,troy_mcclure
242,edna_krabappel
243,homer_simpson
244,patty_bouvier
245,dolph_starbeam
246,nelson_muntz
247,sideshow_mel
248,lionel_hutz
249,fat_tony
250,sideshow_bob
251,sideshow_mel
252,professor_john_frink
253,gil
254,lionel_hutz
255,apu_nahasapeemapetilon
256,lunchlady_doris
257,cletus_spuckler
258,disco_stu
259,patty_bouvier
260,ned_flanders
261,ralph_wiggum
262,abraham_grampa_simpson
263,otto_mann
264,lenny_leonard
265,maggie_simpson
266,timothy_lovejoy
267,sideshow_bob
268,bart_simpson
269,gil
270,rainier_wolfcastle
271,kent_brockman
272,apu_nahasapeemapetilon
273,nelson_muntz
274,moe_szyslak
275,principal_skinner
276,maggie_simpson
277,nelson_muntz
278,edna_krabappel
279,waylon_smithers
280,nelson_muntz
281,lenny_leonard
282,patty_bouvier
283,kent_brockman
284,carl_carlson
285,abraham_grampa_simpson
286,abraham_grampa_simpson
287,gil
288,apu_nahasapeemapetilon
289,chief_wiggum
290,martin_prince
291,otto_mann
292,cletus_spuckler
293,lionel_hutz
294,carl_carlson
295,homer_simpson
296,miss_hoover
297,charles_montgomery_burns
298,cletus_spuckler
299,lunchlady_doris
300,troy_mcclure
301,ned_flanders
302,duff_man
303,rainier_wolfcastle
304,comic_book_guy
305,timothy_lovejoy
306,martin_prince
307,mayor_quimby
308,gary_chalmers
309,apu_nahasapeemapetilon
310,gil
311,groundskeeper_willie
312,sideshow_bob
313,apu_nahasapeemapetilon
314,kearney_zzyzwicz
315,professor_john_frink
316,dolph_starbeam
317,troy_mcclure
318,nelson_muntz
319,selma_bouvier
320,otto_mann
321,maggie_simpson
322,milhouse_van_houten
323,jimbo_jones
324,disco_stu
325,groundskeeper_willie
326,ned_flanders
327,gary_chalmers
328,sideshow_mel
329,cletus_spuckler
330,brandine_spuckler
331,waylon_smithers
332,chief_wiggum
333,maggie_simpson
334,moe_szyslak
335,waylon_smithers
336,chief_wiggum
337,otto_mann
338,groundskeeper_willie
339,rainier_wolfcastle
340,chief_wiggum
341,homer_simpson
342,fat_tony
343,edna_krabappel
344,nelson_muntz
345,krusty_the_clown
346,edna_krabappel
347,sideshow_bob
348,homer_simpson
349,krusty_the_clown
350,jimbo_jones
351,bart_simpson
352,lenny_leonard
353,brandine_spuckler
354,chief_wiggum
355,rainier_wolfcastle
356,cletus_spuckler
357,gary_chalmers
358,barney_gumble
359,principal_skinner
360,lenny_leonard
361,lionel_hutz
362,groundskeeper_willie
363,fat_tony
364,lenny_leonard
365,ralph_wiggum
366,kearney_zzyzwicz
367,miss_hoover
368,waylon_smithers
369,sideshow_bob
370,duff_man
371,groundskeeper_willie
372,sideshow_bob
373,brandine_spuckler
374,disco_stu
375,groundskeeper_willie
376,brandine_spuckler
377,sideshow_mel
378,groundskeeper_willie
379,gary_chalmers
380,troy_mcclure
381,jimbo_jones
382,fat_tony
383,agnes_skinner
384,timothy_lovejoy
385,krusty_the_clown
386,jimbo_jones
387,comic_book_guy
388,apu_nahasapeemapetilon
389,principal_skinner
390,sideshow_mel
391,barney_gumble
392,waylon_smithers
393,brandine_spuckler
394,charles_montgomery_burns
395,sideshow_mel
396,timothy_lovejoy
397,marge_simpson
398,sideshow_mel
399,brandine_spuckler
400,disco_stu
401,milhouse_van_houten
402,kearney_zzyzwicz
403,kent_brockman
404,brandine_spuckler
405,abraham_grampa_simpson
406,brandine_spuckler
407,chief_wiggum
408,agnes_skinner
409,ralph_wiggum
410,marge_simpson
411,kent_brockman
412,snake_jailbird
413,lunchlady_doris
414,mayor_quimby
415,timothy_lovejoy
416,homer_simpson
417,edna_krabappel
418,troy_mcclure
419,jimbo_jones
420,groundskeeper_willie
421,lisa_simpson
422,mayor_quimby
423,patty_bouvier
424,lionel_hutz
425,jimbo_jones
426,krusty_the_clown
427,principal_skinner
428,sideshow_mel
429,duff_man
430,dolph_starbeam
431,agnes_skinner
432,lunchlady_doris
433,gil
434,marge_simpson
435,lisa_simpson
436,rainier_wolfcastle
437,otto_mann
438,maggie_simpson
439,sideshow_mel
440,apu_nahasapeemapetilon
441,sideshow_bob
442,nelson_muntz
443,selma_bouvier
444,lunchlady_doris
445,ralph_wiggum
446,abraham_grampa_simpson
447,groundskeeper_willie
448,agnes_skinner
449,abraham_grampa_simpson
450,agnes_skinner
451,martin_prince
452,selma_bouvier
453,mayor_quimby
454,lionel_hutz
455,principal_skinner
456,duff_man
457,lenny_leonard
458,maggie_simpson
459,bart_simpson
460,waylon_smithers
461,cletus_spuckler
462,maggie_simpson
463,duff_man
464,sideshow_mel
465,martin_prince
466,brandine_spuckler
467,milhouse_van_houten
468,barney_gumble
469,abraham_grampa_simpson
470,kearney_zzyzwicz
471,gil
472,krusty_the_clown
473,principal_skinner
474,chief_wiggum
475,fat_tony
476,duff_man
477,chief_wiggum
478,groundskeeper_willie
479,disco_stu
480,sideshow_mel
481,apu_nahasapeemapetilon
482,comic_book_guy
483,edna_krabappel
484,abraham_grampa_simpson
485,dolph_starbeam
486,rainier_wolfcastle
487,lenny_leonard
488,comic_book_guy
489,kent_brockman
490,edna_krabappel
491,kearney_zzyzwicz
492,patty_bouvier
493,selma_bouvier
494,snake_jailbird
495,nelson_muntz
496,snake_jailbird
497,kent_brockman
498,professor_john_frink
499,fat_tony
500,ned_flanders
501,moe_szyslak
502,barney_gumble
503,chief_wiggum
504,disco_stu
505,bart_simpson
506,gary_chalmers
507,fat_tony
508,duff_man
509,lisa_simpson
510,troy_mcclure
511,kearney_zzyzwicz
512,snake_jailbird
513,disco_stu
514,sideshow_mel
515,edna_krabappel
516,disco_stu
517,homer_simpson
518,cletus_spuckler
519,fat_tony
520,moe_szyslak
521,comic_book_guy
522,timothy_lovejoy
523,ned_flanders
524,jimbo_jones
525,sideshow_mel
526,lunchlady_doris
527,barney_gumble
528,abraham_grampa_simpson
529,lunchlady_doris
530,edna_krabappel
531,abraham_grampa_simpson
532,apu_nahasapeemapetilon
533,abraham_grampa_simpson
534,agnes_skinner
535,otto_mann
536,snake_jailbird
537,gary_chalmers
538,lunchlady_doris
539,moe_szyslak
540,nelson_muntz
541,agnes_skinner
542,dolph_starbeam
543,marge_simpson
544,apu_nahasapeemapetilon
545,patty_bouvier
546,lunchlady_doris
547,ned_flanders
548,comic_book_guy
549,fat_tony
550,gary_chalmers
551,martin_prince
552,nelson_muntz
553,brandine_spuckler
554,waylon_smithers
555,gary_chalmers
556,moe_szyslak
557,carl_carlson
558,gil
559,sideshow_bob
560,abraham_grampa_simpson
561,moe_szyslak
562,milhouse_van_houten
563,lionel_hutz
564,sideshow_mel
565,ned_flanders
566,disco_stu
567,otto_mann
568,duff_man
569,lisa_simpson
570,sideshow_bob
571,chief_wiggum
572,disco_stu
573,duff_man
574,carl_carlson
575,lionel_hutz
576,sideshow_bob
577,ned_flanders
578,krusty_the_clown
579,nelson_muntz
580,milhouse_van_houten
581,edna_krabappel
582,ned_flanders
583,lisa_simpson
584,miss_hoover
585,charles_montgomery_burns
586,gil
587,lisa_simpson
588,otto_mann
589,edna_krabappel
590,duff_man
591,nelson_muntz
592,gil
593,lionel_hutz
594,abraham_grampa_simpson
595,mayor_quimby
596,abraham_grampa_simpson
597,nelson_muntz
598,martin_prince
599,abraham_grampa_simpson
600,ned_flanders
601,homer_simpson
602,barney_gumble
603,marge_simpson
604,edna_krabappel
605,otto_mann
606,groundskeeper_willie
607,moe_szyslak
608,comic_book_guy
609,apu_nahasapeemapetilon
610,groundskeeper_willie
611,kent_brockman
612,cletus_spuckler
613,dolph_starbeam
614,maggie_simpson
615,waylon_smithers
616,troy_mcclure
617,snake_jailbird
618,snake_jailbird
619,duff_man
620,mayor_quimby
621,fat_tony
622,dolph_starbeam
623,carl_carlson
624,troy_mcclure
625,cletus_spuckler
626,ned_flanders
627,kearney_zzyzwicz
628,snake_jailbird
629,milhouse_van_houten
630,fat_tony
631,edna_krabappel
632,martin_prince
633,chief_wiggum
634,chief_wiggum
635,chief_wiggum
636,apu_nahasapeemapetilon
637,chief_wiggum
638,cletus_spuckler
639,principal_skinner
640,disco_stu
641,snake_jailbird
642,otto_mann
643,waylon_smithers
644,timothy_lovejoy
645,ned_flanders
646,kent_brockman
647,abraham_grampa_simpson
648,krusty_the_clown
649,brandine_spuckler
650,mayor_quimby
651,chief_wiggum
652,principal_skinner
653,bart_simpson
654,lunchlady_doris
655,homer_simpson
656,homer_simpson
657,timothy_lovejoy
658,rainier_wolfcastle
659,nelson_muntz
